Strategy,Train_CAGR,Train_Sharpe,Train_MaxDD,Test_CAGR,Test_Sharpe,Test_MaxDD
Momentum SMA=50,0.22733722456532313,1.4525914549017367,-0.08753215688876413,0.1595207973488162,1.0072241535801267,-0.041354331367439594
Mean Reversion,-0.058132467690907075,-1.0323303459243613,-0.49399071638019476,0.012622650627598153,-0.9877818451589641,-0.02795082820118797
RSI,-0.04168745515194716,-0.9275139094860471,-0.4670228769374998,-0.03553937513741334,-1.5733139851992195,-0.08782032306891252
