Date,Open,High,Low,Close,Volume
2025-07-11,25255.5,25322.44921875,25129.0,25149.849609375,250000
2025-07-14,25149.5,25151.099609375,25001.94921875,25082.30078125,259500
2025-07-15,25089.5,25245.19921875,25088.44921875,25195.80078125,241300
2025-07-16,25196.599609375,25255.30078125,25121.05078125,25212.05078125,228800
2025-07-17,25230.75,25238.349609375,25101.0,25111.44921875,243400
2025-07-18,25108.55078125,25144.599609375,24918.650390625,24968.400390625,317000
2025-07-21,24999.0,25111.400390625,24882.30078125,25090.69921875,305200
2025-07-22,25166.650390625,25182.0,25035.55078125,25060.900390625,483700
2025-07-23,25139.349609375,25233.5,25085.5,25219.900390625,271500
2025-07-24,25243.30078125,25246.25,25018.69921875,25062.099609375,338700
2025-07-25,25010.349609375,25010.349609375,24806.349609375,24837.0,278100
2025-07-28,24782.44921875,24889.19921875,24646.599609375,24680.900390625,262100
2025-07-29,24609.650390625,24847.150390625,24598.599609375,24821.099609375,284700
2025-07-30,24890.400390625,24902.30078125,24771.94921875,24855.05078125,243900
2025-07-31,24642.25,24956.5,24635.0,24768.349609375,346300
2025-08-01,24734.900390625,24784.150390625,24535.05078125,24565.349609375,263400
2025-08-04,24596.05078125,24736.25,24554.0,24722.75,259300
2025-08-05,24720.25,24733.099609375,24590.30078125,24649.55078125,251800
2025-08-06,24641.349609375,24671.400390625,24539.19921875,24574.19921875,225100
2025-08-07,24464.19921875,24634.19921875,24344.150390625,24596.150390625,616700
2025-08-08,24544.25,24585.5,24337.5,24363.30078125,312600
2025-08-11,24371.5,24600.849609375,24347.44921875,24585.05078125,241100
2025-08-12,24563.349609375,24702.599609375,24465.650390625,24487.400390625,237000
2025-08-13,24586.19921875,24664.55078125,24535.25,24619.349609375,236000
2025-08-14,24607.25,24673.650390625,24596.900390625,24631.30078125,270200
2025-08-18,24938.19921875,25022.0,24852.849609375,24876.94921875,363100
2025-08-19,24891.349609375,25012.650390625,24873.94921875,24980.650390625,252300
2025-08-20,24965.80078125,25088.69921875,24929.69921875,25050.55078125,287100
2025-08-21,25142.0,25153.650390625,25054.900390625,25083.75,226500
2025-08-22,25064.150390625,25084.849609375,24859.150390625,24870.099609375,210200
2025-08-25,24949.150390625,25021.55078125,24894.349609375,24967.75,213000
2025-08-26,24899.5,24919.650390625,24689.599609375,24712.05078125,750500
2025-08-28,24695.80078125,24702.650390625,24481.599609375,24500.900390625,326600
2025-08-29,24466.69921875,24572.44921875,24404.69921875,24426.849609375,325500
2025-09-01,24432.69921875,24635.599609375,24432.69921875,24625.05078125,229300
2025-09-02,24653.0,24756.099609375,24522.349609375,24579.599609375,271600
2025-09-03,24616.5,24737.05078125,24533.19921875,24715.05078125,340300
2025-09-04,24980.75,24980.75,24708.19921875,24734.30078125,314100
2025-09-05,24818.849609375,24832.349609375,24621.599609375,24741.0,210100
2025-09-08,24802.599609375,24885.5,24751.55078125,24773.150390625,213200
2025-09-09,24864.099609375,24891.80078125,24814.0,24868.599609375,226900
2025-09-10,24991.0,25035.69921875,24915.05078125,24973.099609375,244100
2025-09-11,24945.5,25037.30078125,24940.150390625,25005.5,224600
2025-09-12,25074.44921875,25139.44921875,25038.05078125,25114.0,225700
2025-09-15,25118.900390625,25138.44921875,25048.75,25069.19921875,185400
2025-09-16,25073.599609375,25261.400390625,25070.44921875,25239.099609375,240100
2025-09-17,25276.599609375,25346.5,25275.349609375,25330.25,268900
2025-09-18,25441.05078125,25448.94921875,25329.75,25423.599609375,272200
2025-09-19,25410.19921875,25428.75,25286.30078125,25327.05078125,380400
2025-09-22,25238.099609375,25331.69921875,25151.05078125,25202.349609375,254500
2025-09-23,25209.0,25261.900390625,25084.650390625,25169.5,299200
2025-09-24,25108.75,25149.849609375,25027.44921875,25056.900390625,244400
2025-09-25,25034.5,25092.69921875,24878.30078125,24890.849609375,342500
2025-09-26,24818.55078125,24868.599609375,24629.44921875,24654.69921875,291500
2025-09-29,24728.55078125,24791.30078125,24606.19921875,24634.900390625,394400
2025-09-30,24691.94921875,24731.80078125,24587.69921875,24611.099609375,303000
2025-10-01,24620.55078125,24867.94921875,24605.94921875,24836.30078125,308900
2025-10-03,24759.55078125,24904.80078125,24747.55078125,24894.25,365900
2025-10-06,24916.55078125,25095.94921875,24881.650390625,25077.650390625,268800
2025-10-07,25085.30078125,25220.900390625,25076.30078125,25108.30078125,288000
2025-10-08,25079.75,25192.5,25008.5,25046.150390625,227400
2025-10-09,25074.30078125,25199.25,25024.30078125,25181.80078125,286300
2025-10-10,25167.650390625,25330.75,25156.849609375,25285.349609375,232900
2025-10-13,25177.30078125,25267.30078125,25152.30078125,25227.349609375,234300
2025-10-14,25277.55078125,25310.349609375,25060.55078125,25145.5,292100
2025-10-15,25181.94921875,25365.150390625,25159.349609375,25323.55078125,289900
2025-10-16,25394.900390625,25625.400390625,25376.849609375,25585.30078125,372800
2025-10-17,25546.849609375,25781.5,25508.599609375,25709.849609375,422100
2025-10-20,25824.599609375,25926.19921875,25788.5,25843.150390625,301100
2025-10-21,25901.19921875,25934.349609375,25825.80078125,25868.599609375,42500
2025-10-23,26057.19921875,26104.19921875,25862.44921875,25891.400390625,448400
2025-10-24,25935.099609375,25944.150390625,25718.19921875,25795.150390625,284900
2025-10-27,25843.19921875,26005.94921875,25827.0,25966.05078125,266300
2025-10-28,25939.94921875,26041.69921875,25810.05078125,25936.19921875,395200
2025-10-29,25982.0,26097.849609375,25960.30078125,26053.900390625,321900
2025-10-30,25984.400390625,26032.05078125,25845.25,25877.849609375,257400
2025-10-31,25863.80078125,25953.75,25711.19921875,25722.099609375,334400
2025-11-03,25696.849609375,25803.099609375,25645.5,25763.349609375,23300
2025-11-04,25744.75,25787.400390625,25578.400390625,25597.650390625,305100
2025-11-06,25593.349609375,25679.150390625,25491.55078125,25509.69921875,371900
2025-11-07,25433.80078125,25551.25,25318.44921875,25492.30078125,305600
2025-11-10,25503.5,25653.44921875,25503.5,25574.349609375,243600
2025-11-11,25617.0,25715.80078125,25449.25,25694.94921875,297700
2025-11-12,25834.30078125,25934.55078125,25781.150390625,25875.80078125,312600
2025-11-13,25906.099609375,26010.69921875,25808.400390625,25879.150390625,385200
2025-11-14,25767.900390625,25940.19921875,25740.80078125,25910.05078125,518900
2025-11-17,25948.19921875,26024.19921875,25906.349609375,26013.44921875,281800
2025-11-18,26021.80078125,26029.849609375,25876.5,25910.05078125,280000
2025-11-19,25918.099609375,26074.650390625,25856.19921875,26052.650390625,250100
2025-11-20,26132.099609375,26246.650390625,26063.19921875,26192.150390625,240400
2025-11-21,26109.55078125,26179.19921875,26052.19921875,26068.150390625,235600
2025-11-24,26122.80078125,26142.80078125,25912.150390625,25959.5,464700
2025-11-25,25998.5,26032.599609375,25857.5,25884.80078125,260500
2025-11-26,25842.94921875,26215.150390625,25842.94921875,26205.30078125,275300
2025-11-27,26261.25,26310.44921875,26141.900390625,26215.55078125,240300
2025-11-28,26237.44921875,26280.75,26172.400390625,26202.94921875,202500
2025-12-01,26325.80078125,26325.80078125,26124.19921875,26175.75,213800
2025-12-02,26087.94921875,26154.599609375,25997.849609375,26032.19921875,254800
2025-12-03,26004.900390625,26066.44921875,25891.0,25986.0,265700
2025-12-04,25981.849609375,26098.25,25938.94921875,26033.75,248100
