Entry_Date,Entry_Price,Exit_Date,Exit_Price,PnL,Return_Pct,Exit_Reason
2015-03-18,8742.900390625,2015-03-20,8627.900390625,-1515.3529705464143,-0.015153529705464129,Signal
2015-04-10,8774.349609375,2015-04-17,8698.0498046875,-1069.5778956194893,-0.010695778956194888,Signal
2015-06-02,8442.7998046875,2015-06-03,8232.4501953125,-2691.4674544126046,-0.026914674544125994,Signal
2015-06-23,8377.4501953125,2015-07-29,8365.599609375,-341.45814849643455,-0.003414581484964317,Signal
2015-07-30,8417.0,2015-08-13,8384.4501953125,-586.7150372757515,-0.005867150372757533,Signal
2015-08-17,8530.5,2015-08-21,8305.400390625,-2838.7621988746264,-0.028387621988746226,Signal
2015-10-07,8146.2001953125,2015-11-06,7956.5498046875,-2528.084089243583,-0.025280840892435874,Signal
2015-12-30,7938.60009765625,2015-12-31,7897.7998046875,-713.948208334561,-0.007139482083345581,Signal
2016-01-04,7924.5498046875,2016-01-05,7828.39990234375,-1413.3169039694315,-0.014133169039694303,Signal
2016-03-04,7505.39990234375,2016-06-07,8235.5498046875,9528.327761932343,0.09528327761932354,Take_Profit
2016-06-08,8285.5,2016-09-30,8581.5,3372.5061855047975,0.03372506185504798,Signal
2016-10-04,8770.0,2016-10-10,8735.349609375,-595.1013754275941,-0.005951013754275978,Signal
2016-10-13,8671.5,2016-10-14,8594.0,-1093.732341578735,-0.010937323415787346,Signal
2017-01-06,8281.849609375,2017-03-16,9129.650390625,10036.853133511324,0.10036853133511325,Take_Profit
2017-03-17,9207.7998046875,2017-08-14,9755.75,5750.935152103871,0.057509351521038754,Signal
2017-08-16,9825.849609375,2017-08-22,9815.75,-302.7861180102309,-0.0030278611801023408,Signal
2017-08-24,9881.2001953125,2017-08-30,9859.5,-419.61092664425786,-0.004196109266442536,Signal
2017-08-31,9905.7001953125,2017-09-26,9875.25,-507.4007360621454,-0.005074007360621467,Signal
2017-10-09,9988.2001953125,2017-11-16,10152.900390625,1448.9476791804236,0.014489476791804236,Signal
2017-11-17,10324.5498046875,2017-12-04,10175.0498046875,-1648.0050251888442,-0.01648005025188848,Signal
2017-12-11,10310.5,2017-12-14,10229.2998046875,-987.5485700257019,-0.009875485700256979,Signal
2017-12-15,10345.650390625,2018-02-07,10607.2001953125,2328.113698144204,0.023281136981442074,Signal
2018-02-09,10416.5,2018-02-12,10518.2001953125,776.3374963999424,0.007763374963999372,Signal
2018-04-13,10495.2998046875,2018-05-24,10464.849609375,-490.13173400630325,-0.004901317340063048,Signal
2018-05-25,10533.0498046875,2018-06-28,10660.7998046875,1012.8491022908456,0.010128491022908472,Signal
2018-07-02,10732.349609375,2018-07-03,10668.599609375,-793.9985401175586,-0.007939985401175574,Signal
2018-07-04,10715.0,2018-09-19,11326.650390625,5508.356422071862,0.055083564220718584,Signal
2018-11-20,10740.099609375,2018-11-21,10670.9501953125,-843.8433215474062,-0.008438433215474104,Signal
2018-11-28,10708.75,2018-12-11,10350.0498046875,-3549.5991157931594,-0.03549599115793156,Signal
2018-12-12,10591.0,2019-01-29,10653.7001953125,392.01392986970063,0.003920139298696947,Signal
2019-02-01,10851.349609375,2019-02-15,10780.25,-855.2144381522244,-0.008552144381522296,Signal
2019-02-26,10775.2998046875,2019-02-28,10865.7001953125,638.9594003284603,0.0063895940032845395,Signal
2019-03-05,10864.849609375,2019-05-09,11322.400390625,4011.2941982665934,0.04011294198266602,Signal
2019-05-21,11863.650390625,2019-06-18,11677.0498046875,-1772.8766424620637,-0.017728766424620623,Signal
2019-06-19,11744.4501953125,2019-07-09,11531.599609375,-2012.3503646211886,-0.02012350364621185,Signal
2019-09-23,11542.7001953125,2020-01-07,12079.099609375,4447.087812956732,0.04447087812956729,Signal
2020-01-08,11939.099609375,2020-01-09,12153.150390625,1592.8553094734198,0.015928553094734177,Signal
2020-01-10,12271.0,2020-01-28,12148.099609375,-1201.5515493847283,-0.012015515493847271,Signal
2020-02-07,12151.150390625,2020-02-10,12102.349609375,-601.6144947695764,-0.0060161449476957545,Signal
2020-02-13,12219.5498046875,2020-02-17,12131.7998046875,-918.1115622307011,-0.009181115622307055,Signal
2020-05-04,9533.5,2020-05-05,9429.400390625,-1291.9348547228196,-0.012919348547228203,Signal
2020-05-27,9082.2001953125,2020-06-03,10108.2998046875,11097.918866670543,0.11097918866670553,Take_Profit
2020-06-04,10054.25,2020-07-21,11126.099609375,10460.662002387051,0.10460662002387044,Take_Profit
2020-07-22,11231.2001953125,2020-09-22,11301.75,428.1590877255038,0.004281590877255105,Signal
2020-10-05,11487.7998046875,2020-11-11,12680.599609375,10183.18759873225,0.10183187598732246,Take_Profit
2020-11-12,12702.150390625,2020-12-30,13980.900390625,9867.193039564383,0.09867193039564381,Take_Profit
2020-12-31,13970.0,2021-02-01,13758.599609375,-1713.2454590193272,-0.017132454590193302,Signal
2021-02-02,14481.099609375,2021-03-18,14855.5,2385.441718684228,0.023854417186842225,Signal
2021-03-24,14712.4501953125,2021-03-25,14570.900390625,-1162.1089812259747,-0.011621089812259731,Signal
2021-03-31,14811.849609375,2021-04-01,14798.400390625,-290.8004003867786,-0.002908004003867813,Signal
2021-04-05,14837.7001953125,2021-04-06,14737.0,-878.6779216924266,-0.008786779216924277,Signal
2021-04-08,14875.650390625,2021-04-13,14364.900390625,-3633.463321522313,-0.03633463321522312,Signal
2021-04-29,14979.0,2021-05-03,14481.0498046875,-3524.3220195774084,-0.03524322019577408,Signal
2021-05-10,14928.25,2021-05-14,14749.400390625,-1398.061456466766,-0.013980614564667702,Signal
2021-05-18,15067.2001953125,2021-08-17,16545.25,9609.71770154969,0.0960971770154968,Take_Profit
2021-08-18,16691.94921875,2021-10-18,18500.099609375,10632.469994540314,0.10632469994540306,Take_Profit
2021-10-19,18602.349609375,2021-10-29,17833.05078125,-4335.49279676637,-0.043354927967663714,Stop_Loss
2021-11-01,17783.150390625,2021-11-22,17796.25,-126.33695893441968,-0.0012633695893442525,Signal
2022-01-04,17681.400390625,2022-01-25,17001.55078125,-4044.9986672745026,-0.04044998667274502,Signal
2022-02-02,17706.19921875,2022-02-08,17279.849609375,-2607.9115122771045,-0.026079115122771057,Signal
2022-02-10,17554.099609375,2022-02-14,17076.150390625,-2922.721355043154,-0.029227213550431563,Signal
2022-03-21,17329.5,2022-03-22,17120.400390625,-1406.6107468478606,-0.014066107468478582,Signal
2022-03-23,17405.05078125,2022-03-28,17181.849609375,-1482.3931092200473,-0.01482393109220048,Signal
2022-03-29,17297.19921875,2022-04-20,17045.25,-1656.5896800037397,-0.016565896800037394,Signal
